file_name,body_ratio,beak_head_ratio,tail_body_ratio,bird_aspect_ratio,circularity,convexity,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,log_hu_1,log_hu_2,log_hu_3,log_hu_4,log_hu_5,log_hu_6,log_hu_7,fd_1,fd_2,fd_3,fd_4,fd_5,fd_6,fd_7,fd_8,fd_9,fd_10,fd_11,fd_12,fd_13,fd_14,fd_15,fd_16,fd_17,fd_18,fd_19,fd_20
gettyimages-114945454-612x612.jpg,1.0333333333333334,0.33333333333333337,0.5555555555555555,1.0338983050847457,0.2849757408877597,0.7010967098703889,0.0009315043397411164,2.419636936369021e-07,2.395085777939991e-10,3.885528243665166e-11,1.2886416698980723e-21,-2.837601547907767e-15,-3.519835157763597e-21,3.0308151174491886,6.616249794499118,9.620678928087035,10.410549929832532,20.88986782928783,-14.547048587629003,-20.453477675087207,1.0,0.45979204438548066,0.2532601038121399,0.15934822099825105,0.039630103318979155,0.08713868353135946,0.11346524505037994,0.018065530608836963,0.0724094749995082,0.03501636217595625,0.08267006773053272,0.07652640146283744,0.06488843962440648,0.05263992796793528,0.030999494503327042,0.011348443165309608,0.03471167303629955,0.03759621049119317,0.019982812479405025,0.021692955221302115
pexels-photo-2601519.jpeg,1.875,0.3333333333333334,0.5555555555555555,1.8850574712643677,0.07412593612937501,0.4311210539398459,0.0018288198410031902,1.6576597976971348e-06,3.778976587898634e-09,1.5945806821774916e-09,3.87439174728551e-18,2.026339655326243e-12,-5.576974527200257e-19,2.7378290752299295,5.780504595102405,8.422625798683125,8.797353501546146,17.41179646903693,11.693287756374364,-18.253601339141508,1.0,0.6142273184495141,0.06857466058036542,0.09828584884144251,0.13710037378247653,0.052186991532557174,0.15827378423607674,0.09898343671130896,0.07480969653016849,0.04913477885649267,0.0525975237287539,0.03656191154956574,0.006009195347659463,0.04058245495988114,0.05265668008202031,0.013161049737840942,0.01685484648004632,0.014245155973060987,0.02562028703941115,0.013306807901055687
free-photo-of-chim-h-ng-y-ph-ng-b-c-s-ng-d-ng-d-u-ngoai-tr-i.jpeg,3.3,0.33333333333333337,0.5555555555555556,3.358974358974359,0.1969272972520079,0.6243800076306754,0.003199878128601006,9.518769815365817e-06,1.7162614775534146e-09,3.3602608874703435e-10,1.09809420236412e-19,7.82532716146273e-15,-2.3034778040279947e-19,2.4948665620188404,5.021419175241608,8.765416545387266,9.473627003089225,18.95936040140503,14.106497496407997,-18.637615968188644,1.0,0.17326758280778698,0.11775367739561665,0.0738595040307424,0.07842180995453565,0.05377112947171449,0.01359557176457873,0.018935774244454227,0.01592208232568088,0.03559743373418804,0.017419450535283564,0.00799299475291033,0.01597921779164572,0.004474053148262524,0.014661438103756884,0.010927278240932977,0.02272722904283196,0.013805080335236511,0.009338952653304353,0.015640327486449584
istockphoto-1302381938-612x612.jpg,5.0,0.33333333333333337,0.5555555555555556,5.3076923076923075,0.371707318215627,0.9318866787221217,0.0017999977234049137,2.826300884346825e-06,3.3342551482228827e-11,2.5707486367304036e-11,7.523132142337516e-22,4.2575873570800735e-14,2.226693937477173e-23,2.7447280441818656,5.54878160559586,10.477001169587377,10.58994038583002,21.123601309816596,13.37083643242969,22.652339473311486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pexels-photo-221417.jpeg,0.7790697674418605,0.33333333333333337,0.5555555555555556,0.7777777777777778,0.08680720779781947,0.4276145396088238,0.0016287871903350089,1.0243427721690028e-06,2.2750875566567133e-10,5.091716951448633e-11,-3.9631431312960965e-21,1.2926422533591763e-14,-3.784964236502844e-21,2.788135654857024,5.9895546926259655,9.64300188487889,10.293135746778132,-20.40196024257634,13.888521652141636,-20.421938219720804,1.0,0.48061177244672026,0.5209729567152644,0.2437722989817906,0.3604480168497808,0.1690526337571768,0.05000465507364507,0.15287680175569185,0.056645913342807906,0.044998976515700326,0.12028749667992689,0.07496413367049842,0.06066339680623968,0.049424681421755205,0.03481130487706346,0.013381163458520277,0.026559751899666136,0.033663108223819946,0.03575495337882947,0.04500309004808963
gettyimages-1129916016-612x612.jpg,1.1666666666666667,0.3333333333333333,0.5555555555555556,1.1688311688311688,0.1932193848423223,0.6356659967111273,0.002146838830519468,3.931028496123823e-06,5.6773330983452205e-11,2.8733116616477222e-12,-3.540210276924732e-23,-5.55837947142399e-15,-9.667392566622454e-24,2.6682005580990777,5.405493807956946,10.245855624265097,11.54161726450828,-22.45097094153469,-14.25505180719524,-23.014690645526663,1.0,0.1404549137948,0.10951170162244649,0.035270404547613717,0.05175309891926735,0.0823273960422332,0.03624534427124105,0.020724728037690165,0.03142235016836056,0.014471747566230849,0.016320571156097207,0.013948160409381183,0.013921794779002702,0.017111792694626173,0.020799869768313474,0.016409935625946403,0.013254835856515837,0.006198282625221152,0.009725268651378644,0.01543708171866377
free-photo-of-c-n-c-nh-m-t-chu-chim-h-a-mi-tren-canh-cay.jpeg,1.9722222222222223,0.3333333333333333,0.5555555555555556,1.9767441860465116,0.051715137469677465,0.37065508715796475,0.007106319234480575,4.895236409785739e-05,1.6361520059773785e-08,1.0498734732309473e-08,1.368530183472093e-16,6.551541733387195e-11,-1.431466958538255e-17,2.148355286762364,4.31022632960422,7.786176350853856,7.97886303730021,15.863745619612413,10.183656488174016,-16.8442186720155,1.0,0.07181093536788065,0.10983509273602905,0.06458077198491821,0.07382670472566095,0.021988801848627962,0.01436497827064008,0.02461982926132104,0.012029870216555577,0.02909137863688247,0.009191126144535218,0.00486870286972145,0.011767080154975832,0.01158649481340455,0.008658749412156226,0.0023397582983878656,0.0062318021965366574,0.012730754655214975,0.003448352690387091,0.0018719526830414778
beautiful-background-image-wild-robin-600nw-1886402566.jpg,1.5483870967741935,0.3333333333333333,0.5555555555555556,1.5573770491803278,0.18535463626820797,0.575910235859858,0.0026857015824203285,6.516005940837606e-06,1.0130908317400187e-09,2.484600407266623e-10,8.449054530983106e-20,1.2796432979632314e-13,-9.165243012220774e-20,2.5709422449465666,5.186018528404072,8.994351614901303,9.604743447926007,19.073191886902404,12.892911073567316,-19.037856015429824,1.0,0.1594832081348376,0.11748780350868089,0.07736296341307254,0.059049754693713236,0.009714119094585954,0.006682357678266985,0.010945181260459997,0.02829700534746268,0.012922864561193912,0.028377730568063878,0.03828489020519622,0.022841344733916705,0.0021809158783597203,0.015015619356355965,0.015851220701429553,0.012203099254108887,0.016652257014585226,0.009944615372019612,0.007099413136269763
jay-on-ast-634405_640.jpg,1.3461538461538463,0.33333333333333337,0.5555555555555556,1.3529411764705883,0.3103242434790212,0.765904365904366,0.0009744877563997739,3.8039826863111007e-07,1.8631328358419152e-10,1.4006903130342366e-11,6.179603330283599e-22,4.855884435681052e-15,3.607288498356556e-22,3.011223613048587,6.41976146840567,9.729756180092197,10.853657874855154,21.209039401448063,14.313731657505953,21.442819122934228,1.0,0.6302641341620498,0.22694188915867072,0.11593311434328847,0.11304526373411779,0.20865914538133135,0.09529142587708196,0.07831718267233073,0.04504133926728338,0.10599982833471372,0.027548933097945354,0.012761351782886883,0.1045173373490332,0.03429439311699003,0.02612787529870858,0.08126901256586885,0.019699522154412858,0.025862956876972036,0.041743360631587775,0.017986077405461195
istockphoto-1472678552-612x612.jpg,2.3636363636363638,0.33333333333333337,0.5555555555555556,2.395348837209302,0.18865775809248636,0.6237829209896248,0.001335473008775718,1.0432224755872557e-06,1.8924758215261995e-10,6.483951706263173e-12,1.00418035699195e-22,4.831344141457311e-18,-2.0372612125976642e-22,2.874364885072951,5.981623064903591,9.722969660385264,11.188160228521475,21.99818827821505,17.315932026182963,-21.690953283264562,1.0,0.9507134392077825,0.17560542704753831,0.26845454973264066,0.034304807123103215,0.0717569998867759,0.21647941957184053,0.11379201083034357,0.08775911126793766,0.05434594105348393,0.04833864823887013,0.09177620295081942,0.0910490037527493,0.04725038567883711,0.12448474048761642,0.038530749266511365,0.10484008044589008,0.07822546383797391,0.06078651185247529,0.023061447597811324
