filename,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,kmeans_r1,kmeans_g1,kmeans_b1,kmeans_p1,kmeans_r2,kmeans_g2,kmeans_b2,kmeans_p2,kmeans_r3,kmeans_g3,kmeans_b3,kmeans_p3
istockphoto-519501240-612x612.jpg,0.2862764000892639,0.0010611111065372825,0.013848611153662205,0.025356944650411606,0.0018291666638106108,0.00020416667393874377,0.0005833333125337958,0.00010833333362825215,0.0001138888910645619,0.0005208333604969084,0.0009013888775371015,0.00023472221801057458,0.0011486110743135214,0.0002833333273883909,0.00019444443751126528,0.00038333333213813603,0.00017361111531499773,0.00011111111234640703,0.2894972264766693,0.004308333154767752,0.0073124999180436134,0.005254166666418314,0.006591666489839554,0.004423611331731081,0.0033722221851348877,0.012573610991239548,0.30515971779823303,0.004666666500270367,0.005273611284792423,0.0038069444708526134,0.004405555780977011,0.005694444291293621,0.004227777943015099,9.861111175268888e-05,0.7188380967952277,0.7240366573301689,0.4053245587763925,0.919325,173.8207640538309,170.04463578780684,78.87401029295377,0.042058333333333336,77.4415640527096,80.98703823720031,37.973644415641076,0.03861666666666667
istockphoto-540128322-612x612.jpg,0.31605416536331177,0.004615277983248234,0.001323611126281321,0.0035638888366520405,0.0013569444417953491,0.0004472222353797406,0.0007305555627681315,0.00036805556737817824,0.0004444444493856281,0.0005583333550021052,0.002591666765511036,0.0006805555312894285,0.00020694444538094103,7.500000356230885e-05,6.25000029685907e-05,8.194444671971723e-05,7.638888928340748e-05,9.583333303453401e-05,0.317594438791275,0.0028097222093492746,0.002861111192032695,0.002888888819143176,0.003022222314029932,0.0015611110720783472,0.0006041666492819786,0.0019916666205972433,0.31929445266723633,0.0016055555315688252,0.0029305554926395416,0.0026208332274109125,0.0019111110595986247,0.001500000013038516,0.001461111125536263,0.0020097221713513136,193.4148172323751,178.19908616187888,168.40959530026123,0.01275,0.18584174434199152,0.20072782160891212,0.12665310495679183,0.9606291666666666,84.6886452623328,88.79655442443125,82.40955364135019,0.026620833333333333
istockphoto-623347472-612x612.jpg,0.271491676568985,0.015724999830126762,0.024441666901111603,0.0062374998815357685,0.00044305555638857186,0.0003208333218935877,0.00010833333362825215,0.0003236111078877002,0.0002805555413942784,0.0011541666463017464,0.004209722392261028,0.003320833435282111,0.0021263889502733946,0.00016527777188457549,0.00040972221177071333,0.0002916666562668979,0.001008333289064467,0.0012750000460073352,0.2974652647972107,0.012004166841506958,0.016233332455158234,0.005145833361893892,0.0017333333380520344,0.0003458333376329392,0.00010972221934935078,0.00029583333525806665,0.26607778668403625,0.006336111109703779,0.005627777893096209,0.0073972223326563835,0.011108333244919777,0.011845833621919155,0.015281944535672665,0.009658332914113998,1.3581455523292227,1.2696915366458832,1.2634417912817142,0.818,127.01655467912437,118.20888109846693,106.9362644853388,0.08542083333333333,209.26739863403486,197.72378317630978,173.62527016511876,0.09657916666666666
istockphoto-909402044-612x612.jpg,0.29601943492889404,0.0027319444343447685,0.019838888198137283,0.00773888872936368,0.00022222222469281405,0.0001402777706971392,0.00010694444790715352,0.000545833318028599,7.777777500450611e-05,0.00045694445725530386,0.0011638888390734792,0.0018180555198341608,0.001147222239524126,0.00015277777856681496,0.0002097222168231383,8.749999688006938e-05,0.0005874999915249646,0.00028750000637955964,0.30591943860054016,0.005144444294273853,0.002954166615381837,0.0034944445360451937,0.0038666666951030493,0.0023680555168539286,0.005201389081776142,0.0043847220949828625,0.29851529002189636,0.004698611330240965,0.005452777724713087,0.004522222094237804,0.004781944677233696,0.0068083335645496845,0.005705555435270071,0.0028486112132668495,0.9882912667645183,0.9290241043225649,0.8029159645378812,0.9098833333333334,136.7937774984337,123.08152105593214,56.90314267755958,0.06627916666666667,202.95075359271425,199.19120224324598,178.011391517699,0.0238375
jay-on-ast-634405_640.jpg,0.2801347076892853,0.03801944479346275,0.005226389039307833,0.004776388872414827,0.0005277777672745287,0.0002611110976431519,0.0002277777821291238,0.00028472222038544714,0.00026388888363726437,0.0012722222600132227,0.0009569444227963686,0.00032777778687886894,0.00023611111100763083,0.00010833333362825215,0.0001513888855697587,8.611111115897074e-05,0.00023055555357132107,0.00024166666844394058,0.26426804065704346,0.013451389037072659,0.025002777576446533,0.023452777415513992,0.005125000141561031,0.0009013888775371015,0.00022916666057426482,0.0009027777705341578,0.26773056387901306,0.01357777789235115,0.01667499914765358,0.00980277732014656,0.009705555625259876,0.008116666227579117,0.005601388867944479,0.0021236110478639603,0.6152459185664725,0.5551973548312716,0.44436867120323775,0.8065125,171.8784821232725,142.5461175696519,130.35495722744668,0.07590833333333333,78.56151609698982,62.495000709116006,51.41338108070495,0.11757916666666667
kiskadee-9473956_640.jpg,0.30494028329849243,0.006381944287568331,0.007363888900727034,0.0025708333123475313,0.0003458333376329392,0.00023611111100763083,0.00028472222038544714,7.916666800156236e-05,5.972222061245702e-05,0.00022916666057426482,0.0008388888672925532,0.004550000187009573,0.0033555554691702127,0.0003847222251351923,0.00016111110744532198,0.0006361111300066113,0.00030416666413657367,0.0006111111142672598,0.30415138602256775,0.009194444864988327,0.0071875001303851604,0.0035597223322838545,0.003705555573105812,0.0031416667625308037,0.0013402777258306742,0.001052777748554945,0.30242499709129333,0.005833333358168602,0.007377777714282274,0.00795000046491623,0.004197222180664539,0.0022444443311542273,0.0016083333175629377,0.0016972222365438938,0.7273185255027652,0.5814808427128302,0.5596957346610729,0.9180875,179.610839292425,180.56153556642948,172.9759126834718,0.022120833333333333,94.09650222964456,81.64980490522976,61.48411371237603,0.05979166666666667
mourning-dove-5552510_640.jpg,0.31135833263397217,0.0075138891115784645,0.0036527777556329966,0.003005555598065257,0.0007041666540317237,0.00016666666488163173,0.0002458333328831941,0.0002388888824498281,6.527777441078797e-05,0.00012361111294012517,0.000366666674381122,0.0007999999797903001,0.000733333348762244,0.00018472221563570201,0.0003013888781424612,0.00035416666651144624,0.0010055555030703545,0.002512499922886491,0.3191624879837036,0.006652777548879385,0.0029555554501712322,0.0020819443743675947,0.0013055555755272508,0.0004902777727693319,0.00011805555550381541,0.0005666666547767818,0.3056027889251709,0.0011513888603076339,0.002231944352388382,0.005809722002595663,0.008508333005011082,0.005065277684479952,0.004315277561545372,0.0006486111087724566,0.22263330691219707,0.22910449451451953,0.1671278161351779,0.9201,123.2928116621913,113.83922587131549,100.93021112600175,0.04967916666666667,190.6971957452518,175.84514435694808,173.869595247968,0.030220833333333332
northern-hawk-owl-6961772_640.jpg,0.2883347272872925,0.03295416757464409,0.001724999980069697,0.0006555555737577379,0.00014166666369419545,0.00011944444122491404,0.00018472221563570201,0.00017361111531499773,0.0001250000059371814,0.0010930555872619152,0.001323611126281321,0.0005847222055308521,0.0014069444732740521,0.00024305556144099683,0.0002458333328831941,0.0004555555642582476,0.0007194444187916815,0.0028472221456468105,0.26877084374427795,0.01362222246825695,0.01881111040711403,0.013913888484239578,0.008970833383500576,0.004948610905557871,0.0016472222050651908,0.0026486110873520374,0.26714861392974854,0.01615416631102562,0.017198611050844193,0.013637499883770943,0.009095833636820316,0.006025000009685755,0.0026652778033167124,0.0014083333080634475,1.9585236671614794,1.1491711309670656,0.9335640103339582,0.8238291666666666,165.9974064208623,146.50084116079577,132.69606056358106,0.059366666666666665,83.77091427553395,65.98602744608489,57.80466939939466,0.11680416666666667
nuthatch-sitta-europaea-bird-portrait-600nw-2411587149.jpg,0.3133319318294525,0.003048611106351018,0.00019861111650243402,0.0007777777500450611,3.4722223062999547e-05,1.5277777492883615e-05,8.472222543787211e-05,2.0833333110203966e-05,1.6666666851961054e-05,0.00010416666918899864,0.006362500134855509,0.007222222164273262,0.0010652777273207903,0.0002791666775010526,0.00015555555000901222,0.00019027777307201177,0.00018611110863275826,0.0002388888824498281,0.3132069408893585,0.0031791666988283396,0.003705555573105812,0.004208333324640989,0.0040263887494802475,0.0026916665956377983,0.0013541666558012366,0.0009611111017875373,0.3148263990879059,0.0025430554524064064,0.002166666556149721,0.0017652778187766671,0.002286111004650593,0.003451388794928789,0.003473611082881689,0.0028208333533257246,0.5655261628272923,0.40988213287900344,0.36973651433219956,0.9533708333333333,142.80341144037777,163.20365265335906,208.69262577535875,0.024204166666666665,70.93586168432493,87.0953708867786,121.79810373675383,0.022425
pexels-agrosales-31890485.jpg,0.32397639751434326,0.0030138888396322727,0.0010666666785255075,0.0013319444842636585,0.0009305555722676218,0.0003319444367662072,0.0008972221985459328,6.944444612599909e-05,3.055555498576723e-05,6.666666740784422e-05,3.7500001781154424e-05,0.00021111110982019454,0.00028194443439133465,6.805555312894285e-05,5.2777777455048636e-05,6.944444612599909e-05,0.00011805555550381541,0.0007791666430421174,0.3039805591106415,0.002259722212329507,0.002752777887508273,0.0029805556405335665,0.004022222012281418,0.004612499848008156,0.003854166716337204,0.008870833553373814,0.30920693278312683,0.0025402777828276157,0.0034374999813735485,0.003231944516301155,0.003037499962374568,0.0036194445565342903,0.004509722348302603,0.0037499999161809683,0.4864847979003333,0.26836277953168164,0.13440229202308718,0.9336708333333333,207.39959509046412,112.21346324180796,95.47488295583965,0.03292916666666667,115.34219061875561,45.0718562874261,26.900573852296105,0.0334
